"Date","ggrc-core","skia","skia-buildbot","WebFundamentals","flatbuffers","guava","ExoPlayer","error-prone","angle","protobuf","shaka-player","kythe","openhtf","boringssl","DirectXShaderCompiler"
"1","1216","1126","703","271","75","272","242","185","397","194","132","162","12","277","67"
"2","1359","1103","631","182","43","313","146","192","348","174","180","268","70","319","45"
"3","1157","1056","473","395","53","323","244","217","317","148","228","152","54","357","42"
"4","1436","1105","558","1251","57","234","287","172","389","185","172","281","46","409","82"
"5","1202","945","586","545","84","279","315","178","481","249","78","208","61","326","67"
"6","1567","1089","508","540","78","333","296","158","408","225","142","139","59","381","41"
"7","1988","1452","556","569","134","279","414","206","474","296","151","191","99","525","115"
"8","1690","1427","706","377","122","312","380","252","556","376","135","183","41","384","79"
"9","1582","1143","518","764","48","264","340","285","527","277","91","132","62","349","45"
"10","1488","1321","618","687","53","313","291","276","578","234","119","148","48","399","69"
"11","1480","1272","568","255","64","258","270","171","488","214","114","123","31","393","78"
"12","835","767","344","167","45","251","176","132","241","134","70","93","29","324","7"
